,att_id,att_name,att_cat,att_price
0,1911,small-group_quebec_city_food_tour,walking_&_biking_tours,53.0
1,567,small-group_quebec_city_food_tour,"food,_wine_&_nightlife",53.0
2,3298,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,recommended_experiences,57.5
3,1311,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,tours_&_sightseeing,57.5
4,409,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,day_trips_&_excursions,57.5
5,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5
6,3293,small-group_quebec_city_food_tour,recommended_experiences,53.0
7,216,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,cultural_&_theme_tours,57.5
